x-axis;1;2
second;Volt;Volt
+420.000E-06;+980.488369E-03;-615.617141E-03
+425.000E-06;+979.938746E-03;-607.922418E-03
+430.000E-06;+978.918017E-03;-597.872167E-03
+435.000E-06;+979.938746E-03;-591.669277E-03
+440.000E-06;+979.938746E-03;-583.346413E-03
+445.000E-06;+980.174299E-03;-573.610232E-03
+450.000E-06;+979.153570E-03;-567.485860E-03
+455.000E-06;+980.566886E-03;-557.357092E-03
+460.000E-06;+980.802439E-03;-551.625308E-03
+465.000E-06;+979.938746E-03;-545.108348E-03
+470.000E-06;+979.938746E-03;-535.450685E-03
+475.000E-06;+979.624675E-03;-529.561866E-03
+480.000E-06;+978.682464E-03;-521.160484E-03
+485.000E-06;+979.938746E-03;-511.502821E-03
+490.000E-06;+979.938746E-03;-505.614002E-03
+495.000E-06;+980.959474E-03;-498.468901E-03
+500.000E-06;+981.116510E-03;-491.323801E-03
+505.000E-06;+980.959474E-03;-481.744655E-03
+510.000E-06;+980.723922E-03;-473.343273E-03
+515.000E-06;+979.938746E-03;-468.710736E-03
+520.000E-06;+980.252816E-03;-459.053073E-03
+525.000E-06;+978.918017E-03;-452.143525E-03
+530.000E-06;+981.037992E-03;-444.762872E-03
+535.000E-06;+981.037992E-03;-435.262244E-03
+540.000E-06;+981.195027E-03;-431.414882E-03
+545.000E-06;+980.566886E-03;-424.662369E-03
+550.000E-06;+979.938746E-03;-416.260988E-03
+555.000E-06;+980.174299E-03;-409.429958E-03
+560.000E-06;+981.037992E-03;-403.148551E-03
+565.000E-06;+979.938746E-03;-393.490887E-03
+570.000E-06;+979.624675E-03;-388.622797E-03
+575.000E-06;+979.389123E-03;-379.828827E-03
+580.000E-06;+979.232088E-03;-372.683727E-03
+585.000E-06;+979.546158E-03;-367.580084E-03
+590.000E-06;+978.682464E-03;-357.922420E-03
+595.000E-06;+979.938746E-03;-353.132848E-03
+600.000E-06;+979.938746E-03;-346.380335E-03
+605.000E-06;+979.938746E-03;-337.743401E-03
+610.000E-06;+980.488369E-03;-331.226441E-03
+615.000E-06;+979.938746E-03;-324.709481E-03
+620.000E-06;+980.959474E-03;-315.287371E-03
+625.000E-06;+981.116510E-03;-310.419280E-03
+630.000E-06;+979.703193E-03;-306.650436E-03
